nameWithOwner,url,createdAt,stargazers,releases
facebook/react-native,https://github.com/facebook/react-native,2015-01-09T18:10:16Z,108367,242
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,80303,0
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,63050,108
google/guava,https://github.com/google/guava,2014-05-29T16:23:17Z,47002,35
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava,2013-01-08T20:11:48Z,46865,231
square/retrofit,https://github.com/square/retrofit,2010-09-06T21:39:43Z,41274,0
apache/dubbo,https://github.com/apache/dubbo,2012-06-19T07:56:02Z,38565,76
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,36231,44
skylot/jadx,https://github.com/skylot/jadx,2013-03-18T17:08:21Z,33752,27
dbeaver/dbeaver,https://github.com/dbeaver/dbeaver,2015-10-21T08:26:28Z,31062,171
netty/netty,https://github.com/netty/netty,2010-11-09T09:22:21Z,30862,0
zxing/zxing,https://github.com/zxing/zxing,2011-10-12T14:07:27Z,30775,29
alibaba/druid,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,26659,48
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,2013-01-14T21:40:56Z,26059,80
dromara/hutool,https://github.com/dromara/hutool,2014-04-13T07:23:51Z,25682,129
JakeWharton/butterknife,https://github.com/JakeWharton/butterknife,2013-03-05T08:18:59Z,25654,0
alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,25259,26
apache/kafka,https://github.com/apache/kafka,2011-08-15T18:06:16Z,24404,0
greenrobot/EventBus,https://github.com/greenrobot/EventBus,2012-07-16T16:55:40Z,24284,7
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,2015-11-28T12:59:34Z,23802,31
signalapp/Signal-Android,https://github.com/signalapp/Signal-Android,2011-12-15T20:01:12Z,23413,0
Netflix/Hystrix,https://github.com/Netflix/Hystrix,2012-11-19T20:14:46Z,23257,79
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,2015-09-03T23:39:26Z,23049,124
google/gson,https://github.com/google/gson,2015-03-19T18:21:20Z,21938,6
DrKLO/Telegram,https://github.com/DrKLO/Telegram,2013-10-25T14:08:10Z,21722,79
redisson/redisson,https://github.com/redisson/redisson,2014-01-11T14:06:25Z,20799,120
google/ExoPlayer,https://github.com/google/ExoPlayer,2014-06-13T21:19:18Z,20511,23
