ID;URL;Name;nameWithOwner;Stargazers;createdAt
MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=;https://github.com/Snailclimb/JavaGuide;JavaGuide;Snailclimb/JavaGuide;131894;2018-05-07T13:27:00Z
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==;https://github.com/iluwatar/java-design-patterns;java-design-patterns;iluwatar/java-design-patterns;80273;2014-08-09T16:45:18Z
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=;https://github.com/MisterBooo/LeetCodeAnimation;LeetCodeAnimation;MisterBooo/LeetCodeAnimation;72514;2018-12-06T08:01:22Z
MDEwOlJlcG9zaXRvcnkxNTE4MzQwNjI=;https://github.com/doocs/advanced-java;advanced-java;doocs/advanced-java;69098;2018-10-06T11:38:30Z
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw;https://github.com/spring-projects/spring-boot;spring-boot;spring-projects/spring-boot;66095;2012-10-19T15:02:57Z
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=;https://github.com/macrozheng/mall;mall;macrozheng/mall;64128;2018-04-04T01:11:44Z
MDEwOlJlcG9zaXRvcnk1MDc3NzU=;https://github.com/elastic/elasticsearch;elasticsearch;elastic/elasticsearch;63026;2010-02-08T13:20:56Z
MDEwOlJlcG9zaXRvcnkyMDY0NjI3NzY=;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;GitHub-Chinese-Top-Charts;GrowingGit/GitHub-Chinese-Top-Charts;60513;2019-09-05T03:01:56Z
MDEwOlJlcG9zaXRvcnk4MTk3NTM3Mg==;https://github.com/kdn251/interviews;interviews;kdn251/interviews;59347;2017-02-14T18:19:25Z
MDEwOlJlcG9zaXRvcnkxMTQ4NzUz;https://github.com/spring-projects/spring-framework;spring-framework;spring-projects/spring-framework;51063;2010-12-08T04:04:45Z
MDEwOlJlcG9zaXRvcnk2MzQ3NzY2MA==;https://github.com/TheAlgorithms/Java;Java;TheAlgorithms/Java;50707;2016-07-16T10:21:02Z
MDEwOlJlcG9zaXRvcnkyMDMwMDE3Nw==;https://github.com/google/guava;guava;google/guava;46986;2014-05-29T16:23:17Z
MDEwOlJlcG9zaXRvcnk3NTA4NDEx;https://github.com/ReactiveX/RxJava;RxJava;ReactiveX/RxJava;46864;2013-01-08T20:11:48Z
MDEwOlJlcG9zaXRvcnk4OTIyNzU=;https://github.com/square/retrofit;retrofit;square/retrofit;41268;2010-09-06T21:39:43Z
MDEwOlJlcG9zaXRvcnk0NzEwOTIw;https://github.com/apache/dubbo;dubbo;apache/dubbo;38546;2012-06-19T07:56:02Z
MDEwOlJlcG9zaXRvcnkxNzMyMjg0MzY=;https://github.com/NationalSecurityAgency/ghidra;ghidra;NationalSecurityAgency/ghidra;37889;2019-03-01T03:27:48Z
MDEwOlJlcG9zaXRvcnkxOTE0ODk0OQ==;https://github.com/PhilJay/MPAndroidChart;MPAndroidChart;PhilJay/MPAndroidChart;36221;2014-04-25T14:29:47Z
MDEwOlJlcG9zaXRvcnkxNTkxNTI5MDQ=;https://github.com/jeecgboot/jeecg-boot;jeecg-boot;jeecgboot/jeecg-boot;33857;2018-11-26T10:40:00Z
MDEwOlJlcG9zaXRvcnk4ODU5NDc0;https://github.com/skylot/jadx;jadx;skylot/jadx;33717;2013-03-18T17:08:21Z
MDEwOlJlcG9zaXRvcnk3MDE5ODg3NQ==;https://github.com/airbnb/lottie-android;lottie-android;airbnb/lottie-android;33685;2016-10-06T22:42:42Z
MDEwOlJlcG9zaXRvcnkxNDY2MzM1ODk=;https://github.com/alibaba/arthas;arthas;alibaba/arthas;31945;2018-08-29T17:15:57Z
MDEwOlJlcG9zaXRvcnkxMDY0NTYz;https://github.com/netty/netty;netty;netty/netty;30850;2010-11-09T09:22:21Z
MDEwOlJlcG9zaXRvcnkyNTYyNzUx;https://github.com/zxing/zxing;zxing;zxing/zxing;30763;2011-10-12T14:07:27Z
MDEwOlJlcG9zaXRvcnk3MjkwNzI1Mw==;https://github.com/ityouknow/spring-boot-examples;spring-boot-examples;ityouknow/spring-boot-examples;28664;2016-11-05T05:32:33Z
MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==;https://github.com/apolloconfig/apollo;apollo;apolloconfig/apollo;27837;2016-03-04T10:24:23Z
MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=;https://github.com/alibaba/easyexcel;easyexcel;alibaba/easyexcel;27074;2018-02-06T03:14:08Z
MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=;https://github.com/crossoverJie/JCSprout;JCSprout;crossoverJie/JCSprout;26950;2017-12-17T09:06:50Z
MDEwOlJlcG9zaXRvcnkyNzAwMTU5;https://github.com/alibaba/druid;druid;alibaba/druid;26649;2011-11-03T05:12:51Z
MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=;https://github.com/halo-dev/halo;halo;halo-dev/halo;26309;2018-03-21T12:56:52Z
MDEwOlJlcG9zaXRvcnk3NjEzMjU3;https://github.com/SeleniumHQ/selenium;selenium;SeleniumHQ/selenium;26035;2013-01-14T21:40:56Z
MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==;https://github.com/apolloconfig/apollo;apollo;apolloconfig/apollo;27837;2016-03-04T10:24:23Z
MDEwOlJlcG9zaXRvcnkxMjAzOTUxNzY=;https://github.com/alibaba/easyexcel;easyexcel;alibaba/easyexcel;27074;2018-02-06T03:14:08Z
MDEwOlJlcG9zaXRvcnkxMTQ1MjMxODQ=;https://github.com/crossoverJie/JCSprout;JCSprout;crossoverJie/JCSprout;26950;2017-12-17T09:06:50Z
MDEwOlJlcG9zaXRvcnkyNzAwMTU5;https://github.com/alibaba/druid;druid;alibaba/druid;26649;2011-11-03T05:12:51Z
MDEwOlJlcG9zaXRvcnkxMjYxNzg2ODM=;https://github.com/halo-dev/halo;halo;halo-dev/halo;26309;2018-03-21T12:56:52Z
MDEwOlJlcG9zaXRvcnk3NjEzMjU3;https://github.com/SeleniumHQ/selenium;selenium;SeleniumHQ/selenium;26035;2013-01-14T21:40:56Z
MDEwOlJlcG9zaXRvcnkxNDg3MzYyNDM=;https://github.com/qiurunze123/miaosha;miaosha;qiurunze123/miaosha;25767;2018-09-14T04:36:24Z
MDEwOlJlcG9zaXRvcnkxMzc0NTE0MDM=;https://github.com/alibaba/nacos;nacos;alibaba/nacos;25711;2018-06-15T06:49:27Z
MDEwOlJlcG9zaXRvcnkxMTYyMzc4MjM=;https://github.com/lenve/vhr;vhr;lenve/vhr;25688;2018-01-04T08:57:51Z
MDEwOlJlcG9zaXRvcnkxODcyMzgzNg==;https://github.com/dromara/hutool;hutool;dromara/hutool;25654;2014-04-13T07:23:51Z
MDEwOlJlcG9zaXRvcnkyNzAwNDc0;https://github.com/alibaba/fastjson;fastjson;alibaba/fastjson;25199;2011-11-03T06:58:52Z
MDEwOlJlcG9zaXRvcnkxMzE3ODk0OTQ=;https://github.com/wuyouzhuguli/SpringAll;SpringAll;wuyouzhuguli/SpringAll;25175;2018-05-02T02:48:44Z
MDEwOlJlcG9zaXRvcnkxMDgyNTI4OTI=;https://github.com/proxyee-down-org/proxyee-down;proxyee-down;proxyee-down-org/proxyee-down;25100;2017-10-25T10:07:27Z
MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=;https://github.com/alibaba/spring-cloud-alibaba;spring-cloud-alibaba;alibaba/spring-cloud-alibaba;25017;2017-12-01T20:49:15Z
MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=;https://github.com/hollischuang/toBeTopJavaer;toBeTopJavaer;hollischuang/toBeTopJavaer;24443;2018-10-25T09:54:54Z
MDEwOlJlcG9zaXRvcnkyMjExMjQz;https://github.com/apache/kafka;kafka;apache/kafka;24393;2011-08-15T18:06:16Z
MDEwOlJlcG9zaXRvcnk1MDcwMzg5;https://github.com/greenrobot/EventBus;EventBus;greenrobot/EventBus;24279;2012-07-16T16:55:40Z
MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==;https://github.com/scwang90/SmartRefreshLayout;SmartRefreshLayout;scwang90/SmartRefreshLayout;24095;2017-06-02T09:52:50Z
MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==;https://github.com/xuxueli/xxl-job;xxl-job;xuxueli/xxl-job;23786;2015-11-28T12:59:34Z
MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=;https://github.com/seata/seata;seata;seata/seata;23448;2018-12-28T08:37:22Z
MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==;https://github.com/xuxueli/xxl-job;xxl-job;xuxueli/xxl-job;23786;2015-11-28T12:59:34Z
MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=;https://github.com/seata/seata;seata;seata/seata;23448;2018-12-28T08:37:22Z
MDEwOlJlcG9zaXRvcnk1NTg4Njc5OA==;https://github.com/CymChad/BaseRecyclerViewAdapterHelper;BaseRecyclerViewAdapterHelper;CymChad/BaseRecyclerViewAdapterHelper;23441;2016-04-10T07:40:11Z
MDEwOlJlcG9zaXRvcnkyOTkwMTky;https://github.com/signalapp/Signal-Android;Signal-Android;signalapp/Signal-Android;23408;2011-12-15T20:01:12Z
MDEwOlJlcG9zaXRvcnk2NzY2NTU4;https://github.com/Netflix/Hystrix;Hystrix;Netflix/Hystrix;23253;2012-11-19T20:14:46Z
MDEwOlJlcG9zaXRvcnk0MTg4OTAzMQ==;https://github.com/TeamNewPipe/NewPipe;NewPipe;TeamNewPipe/NewPipe;23028;2015-09-03T23:39:26Z
MDEwOlJlcG9zaXRvcnkzMjUzODg3MQ==;https://github.com/google/gson;gson;google/gson;21935;2015-03-19T18:21:20Z
MDEwOlJlcG9zaXRvcnkxMzg2MjM4MQ==;https://github.com/DrKLO/Telegram;Telegram;DrKLO/Telegram;21701;2013-10-25T14:08:10Z
MDEwOlJlcG9zaXRvcnkxNDkwMDEzNjU=;https://github.com/doocs/leetcode;leetcode;doocs/leetcode;21466;2018-09-16T14:03:03Z
MDEwOlJlcG9zaXRvcnk0NTcyMTAxMQ==;https://github.com/apache/skywalking;skywalking;apache/skywalking;21428;2015-11-07T03:30:36Z
MDEwOlJlcG9zaXRvcnk1MzczNTUx;https://github.com/libgdx/libgdx;libgdx;libgdx/libgdx;21224;2012-08-10T19:34:38Z
MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==;https://github.com/apache/flink;flink;apache/flink;20844;2014-06-07T07:00:10Z
MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==;https://github.com/redisson/redisson;redisson;redisson/redisson;20780;2014-01-11T14:06:25Z
MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=;https://github.com/alibaba/Sentinel;Sentinel;alibaba/Sentinel;20669;2018-04-04T06:37:33Z
MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==;https://github.com/google/ExoPlayer;ExoPlayer;google/ExoPlayer;20501;2014-06-13T21:19:18Z
